,TCGA-A7-A13D-01A-13R-A12P-07,TCGA-E9-A1RH-11A-34R-A169-07
ERCC1,8836,1616
CD22,44,98
SEMA3B,125,1729
MBTPS2,1850,1744
PRICKLE3,895,371
LTF,262,13552
NR1H4,0,0
ELOVL5,2945,30298
ALOX5,499,773
KDM5D,0,0
CALCOCO1,1499,10159
UBR7,1043,2389
MAP4K5,3294,2550
EHD3,1433,877
PSMC4,9817,2576
MAN2B2,2608,4982
SLC7A14,1,16
SLC25A39,13232,3216
MVP,6010,5717
NUB1,4146,4688
PGM3,3073,2621
RWDD2A,453,1065
CLK1,2315,7150
POLR3B,845,875
ANGEL1,1072,1199
RNF14,2741,4364
DNASE1L1,786,477
DDX11,1162,439
HEBP1,2337,3375
GPRC5A,22128,1241
MAMLD1,919,1043
CD6,185,130
TACC3,3393,440
UFL1,1299,3098
POLA2,239,102
CAPN1,17408,5811
SLC30A9,2874,4071
MTMR11,823,596
COX15,878,2663
CCDC88C,1694,1046
YAF2,877,810
ZMYND11,8097,8684
WAS,265,273
DPEP1,48,16
BID,3180,1170
MATR3,164,255
NPC1L1,33,115
XYLT2,1840,1274
RGPD5,0,1
STMN4,1,1
NUDCD3,8202,7634
ISL1,21,32
CHDH,1053,568
IL20RA,56,597
CLCA1,0,0
CLCA4,8,44
GLT8D1,2211,3046
ATP2C1,19362,7679
IGF1,1,1925
SLC38A5,1091,82
RALBP1,5941,5917
RUFY3,1551,2685
CNTN1,1499,1077
SLC11A1,521,120
WWTR1,8068,6627
AGPS,3059,4729
ATP1A2,5,13074
TTC27,1526,895
ZNF582,145,126
VSIG2,13,113
PHLDB1,4554,15963
MARCO,585,2356
CYP24A1,10,22
PRDM11,355,814
SYT13,1017,60
CD74,11504,63354
HGF,39,699
ZRANB1,874,1474
NCDN,2629,862
ADGRA2,1682,6278
ZFP64,1776,765
MNAT1,587,773
SAMD4A,1364,2813
RUNX3,1115,340
PLEKHB1,1697,362
SERPINB1,1548,3657
SPAST,1653,1321
NRXN3,119,50
OSBPL5,2343,1760
AQR,2972,3578
CPS1,91,1182
C8B,3,1
FHL1,1362,100282
GABRA1,0,0
NLRP2,7535,42
SLC45A4,1056,680
RNF10,8625,9625
ZNF839,191,377
GRAMD1B,145,124
RNH1,7552,7930
NDUFS1,3450,9479
RB1CC1,4562,5301
ERP44,4394,4487
ALAS1,4275,2769
BIRC3,2574,998
AKAP11,2521,6827
GLRX2,919,1052
SNAPC1,474,272
DERA,1851,1423
STRAP,10777,7234
ABCC2,106,130
DEF6,865,194
PLEKHO1,3058,907
GCLM,2204,1979
UBR2,1999,5324
EHD2,9563,39675
DEPDC1,1227,41
RRAGD,1852,4054
HSF2,647,953
PHF20,4804,3267
HSD17B6,389,25
NR1H3,516,3932
TYMP,5796,825
NCAPH2,2339,1440
TOMM34,5645,934
SEC63,5971,9143
KPNA6,7027,5348
VIM,61023,122019
FAS,532,703
RNASET2,1336,527
CD44,18798,16729
KCNG1,1625,14
AGPAT4,1242,818
SLAMF7,92,356
BTN3A1,776,2925
MIPEP,1021,907
PRKCH,1207,1979
INSRR,17,54
IFNGR1,2682,8932
B4GALT7,1162,933
SH2D2A,470,52
VRK2,1545,671
TNFRSF1B,885,3958
VEZT,2493,3395
POU2F2,389,240
BRD9,3559,1616
SNX1,3628,14381
TBPL1,509,568
BCLAF1,9528,7044
SLC39A9,3812,6076
ANK1,22,100
IBSP,1105,0
TFB1M,352,311
RABEP1,1897,5278
NUP160,3062,3045
BAK1,2285,463
IKZF2,1136,475
GRN,26330,13099
FAM13B,488,2554
ARHGAP31,2830,5636
CENPQ,249,257
RANBP3,2504,2447
ARID4A,624,2335
PNPLA6,3007,1727
IFT88,590,696
ALG1,835,639
ZCCHC8,966,1174
ABCF2,1677,587
CHPF2,6789,1369
LRRC7,67,41
FUT8,1034,1654
UBA6,2704,2345
GAB2,1758,4499
ATP6V0A1,6629,4673
PIAS1,1799,2186
SLC4A7,1454,1721
APBA2,2081,74
MAP2K3,3598,1968
TMSB10,128545,29349
ASTE1,302,539
RNF19A,16492,3474
PEX3,513,625
GABARAPL2,2816,5613
MYOC,0,3773
SH3YL1,5028,1684
FAM136A,4831,1147
VCL,14372,19522
DEPDC1B,403,26
DAPK2,1403,2451
NSMAF,2105,2670
STAP1,15,44
TIMP2,20965,60947
RFC1,2826,5142
TBC1D23,3483,2788
CUL3,3108,3522
MYOM2,11,276
OTC,0,11
CYP46A1,43,266
ZZZ3,2821,2557
SLC18A1,0,0
USP2,284,76
CASR,1,0
TUBG2,852,1473
RPL26L1,785,416
FLT4,930,1615
NSUN2,10796,2165
FBXO42,1855,1709
MFAP3,855,1552
MRI1,463,393
METTL1,733,301
HOXC8,250,863
AGA,1231,1064
PI4K2B,1111,926
BOD1L1,2347,5072
MAT2B,2223,4410
TLL1,80,811
EDC4,2256,1438
TRIO,10810,8480
VCAN,17467,8867
CLEC16A,1550,1333
MSR1,991,1103
CDH1,24739,3950
DNAH5,298,332
ZFYVE16,970,2388
C6,5,2542
RAI14,11763,2476
SOX30,5,12
PNKP,1971,742
BEST2,0,2
PHLPP2,848,1194
SPDL1,1119,316
STAU2,2484,3011
CTNS,872,956
RTN4R,490,45
PHF23,3409,1075
CDH10,0,17
INPP4A,2731,1922
RAB27B,1200,976
PSMA4,5551,4458
MYO16,37,818
LSG1,3459,1611
PARP3,268,2038
TNC,36646,15561
THAP3,747,966
TDP1,1096,588
AIFM2,968,9140
C2orf83,0,2
MED17,162,197
RETSAT,7897,39595
CAPG,22186,2341
AP2S1,11428,2523
USH2A,4,14
ZPBP,8,3
TG,75,23
ADAM28,87,178
BARX2,825,355
DCUN1D1,2262,2130
JADE2,1185,2985
ZIC2,6,23
LCP2,580,801
TRIT1,1987,818
ADRB1,12,1022
GUCA2B,0,0
CUL7,1965,1726
CTNNA1,21843,24922
PHKA2,1532,3274
CNTLN,290,675
EPHA3,410,812
HSPA5,63454,19664
DSG2,11913,6671
GEMIN8,935,931
OFD1,1669,1299
GPM6B,563,955
MAGEC2,0,0
PREX2,191,3602
WDR37,2319,1344
YTHDC2,1284,2124
CTPS2,2580,1258
ATP6V1H,2933,2847
POLR2B,5409,5387
ARAP2,757,490
TPR,8167,9700
CP,20935,857
DTNBP1,1345,943
ANO2,33,185
C12orf4,1159,996
SCML1,191,698
WWC3,8886,2732
ARHGAP6,133,834
FAM184B,14,46
MAP4,36461,30859
GOPC,2024,2717
ROS1,232,1
USP28,1502,1033
HDAC9,1364,1590
TSPAN17,2960,1153
NOP16,1089,346
CC2D2A,456,1857
RRM2B,2113,2466
ZNF800,1269,1362
SNX29,1547,4398
LMO3,82,2929
MRPS10,1611,2536
GUCA1A,1,0
RSF1,2846,3817
VPS13D,2348,8082
CELF2,2539,14276
FAM120A,11125,10640
R3HDM1,4293,1979
COL9A2,449,169
KITLG,1415,3601
ERCC8,257,814
ADAMTS6,291,125
H6PD,4295,14812
VAMP3,4845,13522
PER3,789,5226
UTS2,61,7
TNFRSF9,63,19
EPN3,1582,136
LTBP1,6532,6813
RCN1,4002,2138
ELN,1557,8633
RFC2,3260,915
ARID1B,5175,5983
CLPTM1L,13507,5192
NEDD4L,3153,4487
FOXP3,24,42
PPP1R3F,377,141
HEXB,4318,7728
PTCD2,307,1058
JKAMP,1155,1962
DKK3,7467,4514
ARHGEF5,1325,476
NFE2L3,2492,281
SLC4A8,94,109
LAMC3,167,178
PTGER3,290,14921
TNIP3,7,8
MAPK9,2461,3323
COL23A1,531,36
BCAR1,4353,1416
HERPUD1,4097,6498
HOMER3,1877,302
RAD51,1750,68
POLQ,952,55
PIK3CB,4900,4067
CYBA,3791,1512
THOC3,513,253
HEBP2,5254,12583
MPHOSPH9,899,854
PLEKHA5,1381,2275
PRSS8,10033,394
SIKE1,2437,2573
RRP12,3118,763
FNIP2,2377,5576
MSMO1,2741,1173
TTC17,2495,4470
ALX4,6,322
FSTL4,16,52
FOXN3,1998,14375
METTL24,12,59
MRTO4,4522,1286
NNAT,46,735
USE1,689,1000
MCF2L2,17,19
NRIP2,94,429
LAMA3,309,6119
AP5M1,1140,3015
ANAPC4,904,1485
KCNQ1,692,380
TRAPPC3,4816,3335
THRAP3,8786,8884
PHPT1,2454,1693
ENTPD2,32,218
LY75,620,399
ARID4B,3849,3017
OPN3,601,115
SDCCAG8,1403,1172
PTPRN,529,2
KIF1B,5924,5608
FOXC1,7165,769
TBC1D22A,2380,2167
SYNE2,7573,12537
PLEKHH1,380,517
ATP9A,10027,19792
SPO11,0,0
CBLN4,75,165
CHRDL2,4,359
FAM168A,4882,5118
RELT,373,46
GALC,907,2584
NOP58,4004,1395
SZRD1,6421,4316
KCNH2,232,29
CUL1,10475,4084
FAM114A2,848,1530
CYFIP2,631,483
TAB2,5027,7862
GINM1,1171,5067
EIF2AK2,7053,5667
USP36,5192,2725
KMT2C,6342,7535
MCOLN3,30,465
CCDC85A,9,170
PUM2,9052,9118
MRPL43,1224,1976
ITIH4,6,6
ITIH1,1,3
ZFR,11381,7309
ZNF280C,256,269
NPFFR2,0,24
PHF21B,0,4
TRAF1,451,513
RC3H2,2921,4019
IL17RB,512,222
TRAF3IP2,1400,1582
GYG2,772,47516
DCBLD2,3675,4046
SOAT1,2190,2485
PKP2,2371,682
MSH4,3,13
F7,2,38
GDI2,38501,17897
PRDM1,746,320
ATG5,1691,2323
TMCC3,870,1336
PITHD1,2916,2780
MTA3,4265,2418
USP13,2082,2001
ATP11B,3080,5107
LAMC2,6152,6827
CDK14,1534,1778
SEC61A1,38975,12456
PPP1R12A,2283,4173
RASGRF1,49,22
CAMK2B,34,22
CROCC,1115,665
POLR3E,1552,1441
ATP2B4,7335,33973
ZC3H11A,8,1
RIOK2,1093,1503
YIPF1,1481,1571
NDC1,4772,1457
DGKG,110,113
FLYWCH1,2570,1636
UNKL,304,767
TBXAS1,192,618
ALDH18A1,8383,3063
TARBP1,5945,1622
GATB,455,1641
MXD1,2544,1005
CDK17,1197,1984
DNAJC25,377,835
SLC2A3,3066,963
PSD,59,25
CTDP1,1491,697
YBX3,10929,10527
STYK1,916,60
WNK1,15761,25180
CCAR1,4703,2684
OGFR,2635,1059
GNA15,1330,261
CREB3L3,2,3
PTPRU,4804,2208
SNRNP40,4213,1517
RIMBP2,7,75
COL11A1,26401,52
QSER1,3509,3158
MPC1,867,3079
ACAA1,2736,2918
BCAT1,4001,1528
HDAC7,4832,4600
LZTS1,944,368
PRDM6,89,284
WNT8A,0,1
SPAG4,506,79
NCKAP1,16399,12037
MRPS35,3455,2609
TNK2,2840,2133
MON2,1668,4076
CDH3,13425,1225
ARSF,12,5
GPBP1,2865,6064
DGAT2,4462,54194
ZNF112,397,284
CS,9357,23482
LTK,14,18
MRPS24,15,7
ELMO2,1965,1960
VMP1,7229,4262
APPBP2,1410,4746
POLD1,3309,375
SEZ6,1,9
SLC6A16,204,234
SPHK2,751,555
RPL18,40540,20265
CA11,368,252
ISOC2,4399,1513
U2AF2,10584,3480
EPN1,14115,3806
MED29,3728,3131
AHRR,2,1
GSC2,0,0
ZNF275,1826,1677
MTMR1,2024,1451
GPC1,5695,2439
ADCK1,429,378
HAGH,1334,1662
RNF4,3746,2914
CASP8,869,1430
LIMCH1,6431,14229
TM7SF3,6235,3568
SPA17,115,109
TSPAN32,13,43
DMRT3,68,353
ST3GAL6,415,1828
ATP2C2,755,65
NGFR,30,1218
CDON,1424,3802
TAF2,4442,1913
HIPK2,4435,12090
TNPO3,7396,4338
RFXANK,853,955
TMEM161A,1268,977
CTSA,8428,5322
SUGP2,3776,2708
SLC12A2,2610,4001
SNX24,446,510
EYA2,1219,1454
CNN2,11254,5031
ABCA7,568,876
SNCAIP,56,395
DDX20,1329,980
BTBD1,2596,4890
FAR2,1494,615
BCAS1,60,309
POU1F1,0,4
CHI3L2,2991,444
SBNO2,6505,1851
PMS1,922,908
HMG20B,4734,1872
CALCRL,931,11001
TAF11,1075,917
ANKS1A,2898,2938
AP3D1,9545,5917
ZNF76,1144,1324
NTHL1,602,315
GNAI3,8434,5054
IPO5,8908,16600
OAT,12887,7188
WDR3,4091,2204
PKN2,2452,5264
WDR18,1072,798
TRAM2,3554,4357
NTN1,1694,1478
GLP2R,4,428
MCM10,3069,54
DGKA,929,859
ERBB3,10140,1973
ROPN1,927,49
ANKRD44,1197,751
ADAT1,759,985
PDIA5,5140,1014
TBC1D22B,1121,652
NDUFB4,5603,4098
SPEN,4147,7861
MYLK,9494,18302
ZC3H15,8404,3601
MAP2K4,1526,2187
SNAP91,29,29
SLK,844,8076
CYB5R4,572,1023
COL17A1,2703,5892
GSTO2,85,264
SEC61A2,770,252
PRKCQ,5,63
TLE2,1253,2218
ASB1,1606,2406
FAM107B,4217,6826
ME1,837,8081
TBC1D1,11151,3481
CDK13,4451,2879
MTHFD2,6551,1075
SLC9A7,3482,909
FOXJ2,2660,2855
YBX1,46786,24487
PDE4A,942,2035
PPP2R5A,3419,12316
CTNNA2,0,2
ELAVL1,5169,3101
TIE1,1565,4583
DIP2B,6331,3017
SMARCD1,4286,2659
KDM4A,2375,920
NFYC,3226,1933
ZMYND12,47,204
SLC9A3,44,9
NGEF,951,71
ASPM,2406,92
CD84,154,895
ELOVL1,7653,3854
SPI1,400,767
MPPED2,78,358
CLDN18,6,17
ZBTB11,1660,1779
ATXN3,700,1867
GOLGA5,2720,3007
FGFR2,2562,1435
LRRC40,1184,1003
ISOC1,1010,2376
EML1,1118,2515
TRMT11,651,550
THUMPD1,2001,4319
KIF26A,184,799
ATG2B,974,2936
ARFGEF1,6986,4264
ACSM2B,1,19
ZFAT,1459,472
STAG3,79,149
FECH,1214,1979
MYO9A,1366,3704
DDX3Y,1,1
PFKP,19628,1388
IDI1,3686,1893
SP100,3036,4696
NEO1,2587,3903
TRAM1,15234,14950
PHKA1,2685,742
TNFRSF1A,5426,9066
CACNB1,258,138
EVI5,902,1986
STOML1,635,764
PKM,106239,19376
DHX29,1404,3136
DNTTIP2,6480,3274
METTL22,359,660
TP53BP1,2515,2363
TRO,409,1433
RRP15,1474,1542
RHOA,31360,39357
DHX8,3549,2859
PRKCZ,1144,110
ZFY,0,0
IARS2,6491,12214
SYT1,138,207
NAV3,189,984
IDH3G,2943,2144
ROGDI,346,120
PDZD4,483,232
ATP2B3,2,0
ROCK1,2460,6690
CBFB,2128,1731
PDK3,13025,2759
HYAL2,1805,1869
HDAC4,1005,2145
RASSF1,1340,1417
FGFR3,77,144
IFI35,2022,1276
HEATR6,652,1059
COASY,4285,2973
PLEKHH3,5045,849
MEF2A,2439,4680
OTUD5,3805,3866
TFE3,5580,8426
TBC1D25,1368,1027
ACSL4,3042,8496
INPP5A,1601,1852
GPKOW,1864,967
GRIPAP1,2535,1944
FTSJ1,2912,1405
PRR11,1838,156
ATP11A,4527,2525
POLR1A,7421,2973
LAPTM4A,29966,26382
TTC7A,3888,1790
IP6K2,5376,2605
STON1-GTF2A1L,1,16
SRBD1,1445,1284
KIF2A,1722,2804
RASGRP2,103,414
PSME4,15336,3654
IFT80,503,510
SIRT2,4652,4412
ERLEC1,3539,4569
PPP2R5B,977,1061
PYGM,39,1738
PAGE1,0,0
PITX1,1614,85
TRPC7,0,0
MAST4,978,5198
ADGRF5,2546,12023
SDK2,368,491
ADAM7,1,0
NUCKS1,17028,29129
VPS35,8147,9315
DNAJA2,3444,5884
BCL3,4872,1139
KCNAB2,633,729
ABCC9,702,7343
GAL,1652,12
CLEC2D,179,285
FUNDC1,775,598
MAOB,3163,13132
DRD4,61,16
TGFBR3,175,27299
HES2,428,22
ATP1B3,7222,4628
NEDD4,1181,1490
PIGB,308,558
MAPK6,3063,1780
GNB5,806,735
RAB27A,1118,1347
LRP6,3506,4736
GUCY2C,103,29
SCT,92,1
PHRF1,3004,1517
NUCB2,2395,4203
PFN2,8512,2705
PTPN3,2017,2096
SPTB,42,748
DAPP1,955,130
FGF10,20,3445
SLC44A1,7763,7398
TMEM260,948,1129
SMG6,1103,2169
EXOC5,3084,5434
FGF22,3,6
FSTL3,1704,2064
DGCR2,8105,4990
RNF126,1452,734
MNT,1380,823
ZXDC,2510,1358
JMJD6,2966,854
POLB,1435,661
ST6GALNAC1,31,231
WIPI1,1982,1335
FRMPD1,21,156
GBA2,3387,2210
NDST1,13370,10595
ASNS,42,12
AP3M2,1121,1451
CNGB1,10,1
CHAT,1,0
PABPC1,382299,57580
TESK2,404,236
CFAP20,1253,924
CSNK2A2,1582,2966
PTPN21,564,3253
EIF2B3,1919,2488
CAMK2A,38,8
TCOF1,6580,1629
CDC42,16386,13512
OSBPL3,2734,568
EPHA8,413,0
SLC12A3,5,1
RAD18,1212,691
ATP2B1,2086,3217
TRPM5,2,0
NCK2,5289,1727
MAP4K4,15272,9277
MGAT4A,1963,1776
RPL31,34818,34911
WDR1,21842,10429
SNX13,2118,4221
MS4A12,0,0
ARHGAP10,1023,2944
ING3,509,864
VASH1,661,1007
LMCD1,3152,5462
SEL1L,5481,11579
TRIP13,4915,128
ATP6AP1,15072,5477
