,TCGA-A7-A13D-01A-13R-A12P-07,TCGA-E9-A1RH-11A-34R-A169-07
RNF146,1341,3355
ARG1,2,7
TCF21,1,10
PMFBP1,34,8
FBXL5,2708,17077
MED28,1930,3393
SLC16A7,235,15160
ZNF430,364,542
VAMP8,9914,1680
DCLRE1B,980,515
MYL12B,25957,16255
FOXO3,3924,6518
ARMC2,97,167
GHRH,0,0
RPN2,42815,11965
TGIF2,4840,855
CASQ2,14,695
OLFM3,4,0
PKD2,1190,5129
ABCG2,38,485
SPP1,36240,1116
STBD1,124,647
CCNI,16092,31661
RARRES1,12627,941
MFSD1,3839,5023
RAB3GAP2,3230,3844
EEF2KMT,312,239
PPL,4473,13018
UBN1,4175,4374
KLF12,1255,1191
UCHL3,72,32
PCDH17,1058,296
HS1BP3,3408,1409
LDAH,1217,914
WDR35,1188,1510
CCND2,1141,4075
FGF23,2,0
ELL2,1967,5108
DNAH7,16,81
CYP20A1,634,2107
NDUFB3,2417,1881
GTF3C3,2169,2160
SATB2,124,616
UBE2B,1842,4228
TRPM6,127,155
GDA,15,3
KLF9,1037,9886
TJP2,76,221
ITGB1BP1,3426,11150
CPSF3,3828,2219
PIGZ,255,889
SENP5,2767,1936
CCDC92,2098,4100
C1orf198,11251,3820
HEATR1,6498,2488
PTBP3,7989,4002
RAD23B,12451,15980
FKBP15,2636,3176
CTNNAL1,1305,4222
SET,17815,12198
GLE1,1704,2040
RAB14,6130,8170
CNTRL,610,1227
TRIM32,1076,1181
FBXW2,2637,6554
PHF19,908,1826
NEK6,4306,2664
BSPRY,3159,322
PPP6C,2979,8360
NDUFA8,1963,2348
HDHD3,1245,1122
RBM18,1428,2479
SLC46A2,3,14
HSDL2,885,13974
MAPKAP1,3926,4719
NR4A3,78,90
INVS,633,1453
GALNT12,67,530
DENND1A,1963,1360
ALG2,1611,1637
CSF3R,135,316
KDSR,2870,6535
VPS4B,2877,4275
ONECUT2,51,12
C19orf25,864,568
ZBTB45,1044,598
YLPM1,4170,5524
PROX2,1,34
VSX2,0,8
FCF1,2193,2951
PGF,1822,251
IFI27L2,694,878
NEK9,1986,9629
ACYP1,207,188
IFT43,714,697
NPC2,6701,6687
DNAL1,488,1241
ACOT2,486,3660
LTBP2,11324,25058
AREL1,2443,1699
MLH3,903,1147
TTLL5,1271,1122
FLVCR2,467,236
ABCD4,793,2446
DLST,4394,10502
PPP4R4,0,28
TGFB3,1650,1716
ZC2HC1C,39,85
SLIRP,2002,1218
RBM25,6295,6144
ALDH6A1,618,11684
GPR68,527,223
ESRRB,13,15
EIF2B2,1191,943
NRDE2,489,878
COQ6,199,367
ZNF410,14,15
SUPT7L,2429,2307
KLHL29,697,1191
DNMT3A,6590,1186
TMEM214,11547,6785
ATAD2B,1394,862
FKBP1B,30,45
ATL2,14314,3397
YPEL5,4709,9298
FAM98A,5755,2750
YIPF4,3087,4730
AFTPH,3547,2990
LGALSL,2194,1305
CNRIP1,288,3088
BCL11A,1885,130
CRIPT,1224,1236
EPCAM,19468,1021
SLC17A5,1727,2093
OGFRL1,6371,5321
IDE,2264,2366
TECTB,0,8
ELOVL3,28,696
IFIT3,2825,2342
NKX2-3,4,0
IFIT2,1589,1639
GPAM,1427,137085
CUTC,542,1571
PPP1R3C,223,752
CNNM1,78,90
SMNDC1,2410,1908
C10orf88,663,450
HELLS,492,130
PRLHR,0,0
TCTN3,2027,2731
AVPI1,594,2011
WDR11,2936,3950
KCNIP2,45,21002
CFAP58,24,38
GOT1,1730,1362
CPN1,0,0
C10orf95,0,0
SFRP5,0,7
GNA13,12891,4830
HOXB8,15,274
KANSL1,2479,3214
HOXB5,37,145
HOXB3,432,1034
HOXB1,0,1
DUSP1,4203,5107
PANK3,3460,4143
MSX2,30,165
TEK,302,3929
RCL1,903,1639
CAAP1,609,806
EQTN,5,3
MOB3B,1692,2241
INSL6,2,3
INSL4,0,2
MLANA,14,32
CD274,72,170
IFNA6,0,0
IFNA8,0,0
GRIA2,0,54
NUP43,1560,1814
MTHFD1L,2486,710
LRP11,92,148
CCDC170,30,1577
PCMT1,2725,3303
PLEKHG1,3401,1608
MYCT1,466,2568
MAGEB4,8,2
CYSTM1,1867,3636
PCDHB8,40,49
PCDHB10,514,245
PCDHB14,865,493
PCDHB12,100,237
SLC25A2,0,1
TNN,102,885
MRPS14,1264,2100
CENPL,1067,238
TNFSF18,6,9
SEC16B,9,16
GORAB,802,453
GPR31,0,7
ACAT2,1378,686
TCP1,15694,9010
TTLL2,11,5
SNX19,5277,9009
KCNJ5,64,540
MSANTD2,319,506
TP53AIP1,25,75
TEX11,6,3
ARR3,10,14
PDZD11,2335,1579
SLC10A7,339,596
NUDCD1,3814,963
ENY2,5750,2446
MASTL,2963,464
KIAA1217,12231,5819
LYZL1,0,0
PLXDC2,6694,11779
EPC1,2167,1667
IQSEC3,45,581
CCDC77,754,362
TAF12,1066,1198
MTRF1,280,301
SOHLH2,2,3
DNAJC15,555,3311
PROSER1,3097,1800
UFM1,3486,4503
WBP4,525,1342
ELF1,3193,3533
SMAD9,201,647
HSPH1,8714,3537
KBTBD7,581,998
ALG5,1018,1749
EXOSC8,996,895
ETF1,6561,9620
TGFBI,39732,10132
FAM53C,1912,1866
SIL1,1802,1822
PAIP2,4395,3108
MYOT,1,8
KDM3B,4021,7052
EGR1,3417,3687
SERP1,14643,8466
PLS1,655,165
ZFP30,952,646
NR2C1,705,1325
UTP20,2851,2003
TMPO,4573,2469
ARL1,3943,6166
GLT8D2,406,1866
MTERF2,235,668
SOCS2,227,2031
NFYB,1570,2483
APAF1,769,958
DUSP4,292,7160
CLU,9315,69174
TNFRSF10B,2271,1771
SORBS3,2439,5664
PTK2B,784,1699
CHRNA2,0,2
ADRA1A,6,696
PPP3CC,315,798
PDLIM2,1382,655
EPHX2,415,2658
RNF170,686,1701
NPPB,0,0
UBIAD1,556,1057
TARDBP,4062,3820
TNFRSF8,40,245
PRAMEF2,0,0
ZNF706,5517,4180
LYPLA1,4466,2485
CRISPLD1,1495,948
COPS5,2305,1998
RDH10,3226,3648
EPX,2,18
AKAP1,3703,6624
COIL,1110,942
TRIM25,3867,4317
SCPEP1,7680,8811
SPOP,1728,4540
TBX2,700,648
SLC35B1,2454,1358
TBX4,6,50
TEX14,34,20
FAM117A,523,1373
NCAPH,3443,87
LRAT,785,49
MND1,5,0
TRIM6,243,342
ABCC11,12,314
ADCY7,1198,739
CEP89,4252,1027
TSHZ3,767,1019
ECHDC2,2274,4824
TAS2R8,0,0
PLBD1,1622,2429
TAS2R10,2,16
PRB2,0,0
PYROXD1,831,533
IAPP,0,0
KCNJ8,693,1529
TAS2R7,0,0
BCL2L14,87,21
TAS2R9,0,0
PSPC1,2382,1291
ZNF549,606,461
A1BG,5,2
ZSCAN18,1335,1329
ZNF211,1115,576
PDZRN3,1027,5052
RGSL1,4,0
LHX4,50,58
RNF2,1479,1102
TRMT1L,629,2082
SEC22A,910,686
CSTA,455,1264
DPPA4,4,0
POPDC2,224,184
B4GALT4,1471,776
NAA50,14161,8562
CD80,44,11
KIF18A,535,37
GJA8,4,0
DESI2,9648,2971
CRY2,1141,8386
PEX16,855,905
DEPDC7,129,55
CAT,1676,37960
PILRB,144,206
ZMYM2,4086,5452
GJB6,123,0
GJA3,5,1
TBC1D15,1597,4202
ADGRB2,509,665
HCRTR1,1,15
ZCCHC17,2785,1237
FABP3,255,371
KHDRBS1,10511,8770
TMEM39B,1227,677
CCRL2,57,185
CCR2,21,173
POLR3GL,307,1825
GHSR,1,0
TNFSF10,4072,10222
ZNF639,1613,1643
SLITRK3,1,12
PIK3CA,1691,4758
PDS5A,7327,7661
TMEM156,14,51
CPXM2,784,8839
TMEM54,2808,510
ZSCAN20,403,228
CSMD2,235,25
HPCA,30,2
LRIF1,1306,617
TMIGD3,28,34
CLCC1,1715,1698
GPSM2,1624,386
GTDC1,1760,2706
CXCR4,10474,379
ZRANB3,441,319
ACVR2A,1103,1544
POLK,377,1734
SV2C,45,21
FLT3,2,34
RPL21,9546,15313
MTIF3,868,2488
GTF3A,4986,6102
RASL11A,86,615
UBL3,1501,6320
FYTTD1,5432,5630
MTERF4,625,1414
XPNPEP2,3,792
SASH3,166,346
OCRL,3713,3731
PAEP,12,22
OBP2A,20,2
MRPS2,1399,945
TBX22,1,2
FMOD,2072,29852
MYOG,2,0
LAX1,6,94
PLG,3,0
KIAA1191,4380,5026
COPA,49031,17626
CD244,11,53
LY9,11,37
HS3ST2,13,124
RBBP6,4054,3857
ZC3H7A,2510,4424
PRM2,0,0
SERAC1,705,653
ANXA11,8196,14644
LDB3,34,298
OPN4,1,25
ZNF205,860,221
NAA60,2324,1925
ODF2L,2300,1775
PTGFR,51,2387
TRMT13,488,559
LRRC39,26,57
RWDD3,90,114
ZNF644,3495,2716
CCDC18,385,243
RPAP2,1339,1127
BBS9,695,1180
PMS2,1002,800
ZMIZ2,13010,3196
OCM,1,1
SEPTIN7,11676,12001
EEPD1,804,3485
KLHL7,3197,2001
HERPUD2,1759,1856
CBX3,17667,6526
HNRNPA2B1,39307,25439
WIPF3,1568,262
NXPH1,2,3
NPY,6,3
HOXA7,7,177
INHBA,11605,601
FKBP9,11189,11877
NT5C3A,1401,1151
CCZ1,796,302
POLM,936,705
RAMP3,152,2946
TWIST1,116,2402
SMU1,3331,4408
GLIPR2,4173,3218
SLC25A51,446,1229
CLTA,13351,5535
RECK,1387,9155
SPINK4,2,0
TAF1L,0,2
ACO1,3068,28269
DNAI1,55,20
DCAF10,2257,3780
CNTFR,22,5577
KIAA1549,2163,443
CALD1,34799,35089
AKR1D1,3,1
NUDT10,40,60
SFTPA1,4,3
NEUROG3,0,6
PLAU,5371,1451
SRGN,1313,3432
CHST3,2879,2298
BICC1,918,2623
CISD1,1306,842
EGR2,782,270
ECD,1494,1561
P4HA1,14850,2346
SLC25A16,744,4616
ZWINT,3847,191
VPS26A,5761,5888
RBM19,1153,1284
CIT,1503,199
IFT81,895,555
ACADS,563,5500
HVCN1,82,302
DDX54,2710,1674
MED13L,4559,10158
CDKN2C,324,8000
RNF11,6431,11582
RASSF8,1303,2626
BHLHE41,3399,4496
SSPN,1298,5740
ITPR2,5114,8252
CCDC91,1107,1815
NECAB1,70,229
WWP1,4876,6996
ACOT9,10960,2460
PRDX4,14997,2933
DDX39A,4179,1061
PKN1,4844,5301
ADGRE5,863,2313
WDR83,67,75
GIPC1,8804,2530
ACTRT1,0,0
CCDC70,4,0
SPRYD7,590,584
EBPL,2168,1007
ATP7B,392,574
ZC3H13,3110,6759
NLN,2210,1101
CENPK,141,43
OPTN,12909,13396
ITIH5,577,36496
ATF1,844,1152
TSFM,14,26
NEUROD4,0,0
ARHGAP9,43,183
NCKAP1L,300,1850
MMP19,570,1781
PFDN5,54,92
SPATS2,2728,769
ORMDL2,534,316
NR4A1,3152,404
PDE1B,167,2383
CDK2,1502,611
HOXC11,388,15
ATG101,2380,352
HOXC12,760,5
IKZF4,203,1449
SMUG1,1144,1103
KBTBD4,207,277
SARDH,504,106
DBH,14,7
ATPAF1,3121,7413
STIL,2014,165
HJURP,1512,35
IL13RA2,54,4
COL10A1,12719,78
AMD1,7190,3726
NDUFAF4,745,1023
USP45,328,559
PLP1,21,748
SERPINA7,0,0
MORF4L2,16436,8500
RAB9B,118,206
NRK,10,136
FAM199X,3870,4344
ESX1,31,0
MAGEA9,0,0
ATXN3L,0,0
RAB9A,1787,1632
METTL8,1017,1063
TTC21B,1193,1633
NMI,1431,956
TNFAIP6,433,402
ACVR1C,54,20754
BAZ2B,1120,2495
SLC36A1,1218,1029
LPGAT1,6100,7777
BATF3,82,50
G0S2,138,21439
KCNJ2,1519,1164
RAP2C,1808,1931
EXOSC9,832,744
PLA2G12A,792,2346
B9D2,268,100
PFKFB2,1491,777
C4BPA,4,71
RAB38,180,87
GPR83,15,6
AGO2,8237,3473
MXD4,2721,6288
CKS2,2483,178
DAW1,0,3
ACSL3,7122,6246
CHPF,10943,1760
DNPEP,3712,3329
INHA,51,15
MOGAT1,1,52
OBSL1,5163,2895
FAM124B,109,176
SLC12A4,2210,5122
ENKD1,281,426
MC3R,0,0
GCNT7,4,10
CTCFL,1,13
FAM210B,7274,8442
PI3,399,65
FAM209A,4,1
SNX21,971,1817
SLPI,16315,1125
TTPAL,2021,1784
PREX1,2144,2080
KCNS1,550,32
SLC12A5,65,9
ARHGAP40,329,210
SDC4,20676,4566
NCOA3,4055,3388
PIGT,13538,8798
SEMG2,0,0
MATN4,25,32
NCOA5,4589,1902
VAPB,6817,5654
PARD6B,864,241
CHD6,3506,3608
PLCG1,6188,5124
TOX2,147,324
SRSF6,4725,4321
GDAP1L1,4,7
GTSF1L,0,1
ARFGEF2,6244,5251
ZNFX1,6121,6395
ZNF831,3,47
EDN3,43,92
CSE1L,15653,4952
RAB22A,3738,3403
PTGIS,711,15370
STAU1,12589,7911
CDH26,38,58
SNAI1,1036,217
MOCS3,849,506
STX16,2588,3008
PMEPA1,32006,16603
RNF114,5990,3846
ANKRD60,0,0
DDX27,5836,1491
RBPJL,10,0
SEMG1,1,0
C20orf85,1,1
BCAS4,1149,166
KCNK15,227,186
TP53TG5,26,19
PCK1,2,15269
ZBP1,46,25
NEURL2,10,11
MAGEA10,3,0
FASTKD3,755,368
PEPD,6482,5432
CHST8,382,71
IQSEC2,1574,1201
VAMP7,2704,3992
VAMP7,0,0
IL9R,1,2
IL9R,0,0
XG,311,3097
STAMBP,2754,2263
PAIP2B,795,1205
SNRNP27,691,1430
MPHOSPH10,3956,1881
IL17C,3,1
ATP8A1,178,1138
USP22,9818,8396
POF1B,774,86
HIF3A,107,1499
ZNF576,837,447
ZNF45,1027,759
LYPD3,6133,208
PSG8,1,2
CEACAM8,3,2
NDP,43,82
USP9X,12103,14295
CRISP2,1,5
F13A1,1210,18159
GRM4,43,9
TRERF1,340,833
PACSIN1,285,59
BTN2A2,528,634
SIRT5,692,1129
MRS2,1302,2117
RRP36,1731,1531
BTN1A1,0,3
SNRPC,3322,2038
SLC17A3,15,1
SLC17A1,3,0
SERPINB6,6861,8704
XPO5,4501,1760
ABCC10,796,590
PEX6,1714,2164
NQO2,2169,1346
OARD1,573,1447
AARS2,1045,609
ZNF391,206,883
RPS10,47,20
MOCS1,293,6545
MED20,1044,927
OR2B6,23,0
TBCC,846,837
SPDEF,12,700
TCP11,1,15
MAD2L1BP,797,761
APOBEC2,3,6
KLHDC3,5042,5442
GNMT,4,19
DNAH8,0,3
TREM1,1057,20
MEA1,2098,1670
KLHL31,52,2511
COL21A1,89,294
CDKN1A,4326,1742
SOX4,15967,2855
GLO1,5041,6421
CPNE5,93,98
KCNK17,103,7
RREB1,3785,4418
SSR1,12581,10169
RIOK1,2208,1120
NRN1,1366,7186
SLC35B3,1694,1669
RPP40,408,151
ATXN1,3069,3349
NUP153,5876,3461
DEK,8981,6487
EEF1E1,295,119
CRISP1,0,1
RUNX2,963,244
GCM2,3,0
LRRFIP1,6909,6802
CXCL6,7,9
EREG,13,3
TRIM51,0,0
MYRF,407,83
SCGB2A1,43,32
AHNAK,50078,351132
SSUH2,17,56
WNT1,0,5
SH3TC1,1199,373
CNOT1,10217,9160
BBS2,827,2411
MT2A,3464,2233
GOT2,4636,2429
DOK4,1129,827
CLYBL,204,404
TMTC4,1384,841
RAP2A,2644,2924
SLC10A2,0,0
ABCC4,1023,396
EFNB2,1677,1005
TM9SF2,23807,13775
KIF25,17,87
IRF1,1017,1247
UPF3B,1285,735
RNF113A,840,503
SEPTIN6,2366,1495
TMEM255A,13,684
NDUFA1,5301,4247
BMP4,70,1015
PTGER2,82,258
FAM193A,1343,1686
GRK4,164,276
SOX9,6654,1553
TEKT3,56,21
MYH2,6,67
HS3ST3B1,226,178
SLC25A35,228,492
MRPS7,6144,2752
GGA3,3551,1727
ARMC7,1010,491
NUP85,4960,1467
SLC25A19,722,191
MIF4GD,1433,983
NT5C,644,296
MSTO1,1164,650
TTF1,912,947
GTF3C4,3156,2506
DDX31,1244,534
BARHL1,0,0
KIR2DL1,0,3
PPP1R12C,3508,3072
MBOAT7,8670,1699
SRMS,34,16
SLC2A4RG,4847,4122
BHLHE23,0,0
IL1B,160,39
IL37,1,4
CHCHD5,732,492
INSIG2,1919,1472
POLR1B,3754,1693
CCDC93,2054,2821
PSD4,4140,767
SLC25A23,1577,4973
PSPN,110,166
GTF2F1,2662,3226
ALKBH7,956,975
CLPP,2241,1591
TNFSF9,190,41
GRIA3,81,245
THOC2,4773,3142
MED1,6882,3619
RPL23,21592,46102
ATG4C,655,1100
CD70,37,68
C3,2768,148148
SH2D3A,1119,178
TRIP10,2951,4323
GPR108,2389,3179
TNFSF14,42,132
FOSB,777,440
OPA3,4964,1228
SNRPD2,25659,4070
RTN2,1150,238
EML2,3383,992
VASP,13472,2506
SYMPK,13090,3326
GPCPD1,1505,2865
SDCBP2,360,117
PANK2,1371,1532
TGM3,0,0
DEFB126,0,0
FOXA2,0,0
CD93,6945,12360
GZF1,1544,971
PAX1,1,27
NAPB,640,669
CST8,1,0
NKX2-4,0,0
CENPB,8321,4321
PSMF1,8919,7252
NKX2-2,1,0
DTD1,1248,448
CSTL1,2,0
RBCK1,3545,3437
TMX4,3480,6570
CST11,0,1
STK35,6943,2795
SNRPB,9131,1703
NRSN2,3554,1242
AP5S1,816,511
RRBP1,49916,8369
BMP2,534,575
ZNF133,1118,816
FLRT3,216,125
OVOL2,636,66
PCSK2,2,53
GFRA4,0,0
MKKS,1621,1642
BFSP1,154,90
LAMP5,298,18
SNRPB2,4983,2270
MGME1,1988,817
LRRN4,44,25
TBC1D20,4241,4763
ITPA,5467,963
TCF15,482,152
OTOR,6,1
MCM8,588,267
BANF2,2,0
TMEM74B,103,26
FAM110A,2838,293
SIRPD,0,1
MRPS26,3310,1114
DEFB129,0,0
S1PR4,11,63
NCLN,4286,1772
CITED1,2,3
HNRNPR,9350,6394
ZNF436,2354,3792
MAX,1896,3017
CHURC1-FNTB,0,0
ARMCX5,599,494
GDF5,119,83
MMP24,69,150
NECAB3,1464,792
ID1,287,2306
RALY,15820,4540
C20orf173,3,0
EIF2S2,7015,3717
ERGIC3,23502,8486
ROMO1,2918,1121
FAM83C,2,0
CEP250,4163,1599
PLAGL2,2941,991
GRPR,1,124
KDM5C,12384,4767
AMOT,7729,2937
TMEM115,1611,1782
PSMB2,14584,3966
AGO3,1554,2159
UROD,2971,4319
ST3GAL3,94,55
TMEM53,456,598
KLC1,579,921
XRCC3,530,343
TUBGCP3,1575,1562
MCF2L,2244,3026
F10,40,1409
PCID2,2407,2000
PROZ,26,9
SLURP1,21,4
LRFN3,1779,615
CAPNS1,33676,16656
PDCD2L,510,126
RBM42,7075,2147
KIRREL2,147,0
UBA2,12553,11668
FFAR2,20,212
HCST,21,26
COX6B1,15063,6874
KRT36,1,1
THRA,1731,6004
CCR7,7,53
NR1D1,864,2270
FRMD8,5183,1464
PRDX5,7539,5560
BCL2L12,4803,232
IRF3,6801,1118
RRAS,3358,5566
PRRG2,1398,100
SCAF1,13445,2251
PRR12,6843,1823
TSKS,14,35
FLRT1,66,11
ASL,1246,396
SBDS,4769,8782
CSN1S1,0,200
STATH,0,1
HTN1,6585,0
STAT5A,8595,17083
WNK4,42,75
BECN1,6566,2681
PRKCG,35,1
TRAP1,3039,2210
NSRP1,1405,2261
DNAJC8,4237,6003
AHDC1,4019,1585
IFI6,22824,3205
ZNF384,873,1038
EMG1,2220,1251
SSX1,0,0
UXT,1634,1377
CFP,8,40
ELK1,2895,1494
TIMM17B,2483,740
ATG14,1386,2317
KTN1,12911,16928
SIX1,1246,1032
RHOJ,555,2749
DLGAP5,2713,40
L3HYPDH,182,801
HSPA2,1601,722
ZBTB1,1212,2455
TRMT5,814,1597
SGPP1,480,1691
PLEKHG3,3341,1579
PZP,20,58
PRDM7,1,3
RHOT1,1737,3283
EVI2A,93,183
OMG,7,37
AIF1L,5203,7313
FAM78A,182,472
NUP214,3565,3878
CTAG2,0,2
AVPR2,8,513
SLC10A3,2147,1286
MAP2K2,5160,3425
HNRNPH2,4462,4878
ARMCX1,1276,2396
NXF5,0,5
TIMM8A,611,286
ZC4H2,1069,459
CANX,39439,41587
RGS13,2,110
IPPK,330,104
ZNF484,153,339
OMD,27,2539
FGD3,311,300
HIVEP3,1587,1108
PPCS,1815,3315
EDN2,1037,8
BCL11B,51,111
COX7C,5718,12109
TRAF2,2265,417
ABHD8,344,443
MASP1,24,680
ATP13A4,339,112
HELB,212,102
RAP1B,1758,3741
IL22,0,0
TSPAN8,24,67
BEST3,2,1
RAB3IP,940,428
PTPRB,892,6556
DYRK2,2777,1689
YEATS4,500,509
TAS2R3,0,3
TAS2R4,24,48
TAS2R5,10,29
CRYGN,5,38
LRRC61,494,255
TRPV5,2,2
IDUA,299,340
FGFRL1,1266,5142
TMEM175,552,1259
AUNIP,789,43
PIN1,1249,1312
FBXL12,615,920
EMC1,5543,4477
PLA2G5,127,281
HP1BP3,8176,12249
SIN3B,2062,2424
OR7A10,0,0
SLC35E1,12178,3923
EPS15L1,3373,1833
OR7C1,54,33
F2RL3,328,66
UQCR11,541,765
GFER,217,138
SYNGR3,64,7
PKMYT1,3379,18
WFIKKN1,25,31
WDR24,558,363
FBXL16,174,100
CHTF18,1826,154
GNG13,16,0
MACF1,18896,23020
SMARCA4,14166,3182
KDM4B,3112,1997
TICAM1,1663,608
METTL25,124,259
IL17B,15,84
EMC6,27,6
METTL16,1656,2047
TUBA4A,8832,886
VIL1,0,0
AAMP,6779,5344
PNKD,3048,1869
TNFRSF19,997,424
RNF6,1830,2405
ECHS1,9481,24487
ZNF835,22,197
AKAP9,5235,4717
GNG11,1051,8712
GNGT1,0,0
HIP1,7855,5954
PTPN12,6830,7115
FGL2,197,7725
STEAP4,237,8173
GNAI1,1864,10705
PEX1,750,1245
MTERF1,717,547
SGCE,1622,3975
RBM48,766,835
CASD1,1135,1940
ZNF780B,550,788
LRFN1,1325,90
ZFP36,4230,3279
SRD5A3,1191,1285
SPINK2,44,7
RASL11B,8,4
PAICS,6937,3302
KDR,2407,7723
PPAT,1009,502
TUBGCP6,1172,1959
ADM2,1663,55
DGCR6L,1303,1052
DGCR8,1483,992
ASPHD2,134,70
VPREB3,24,3
SDF2L1,1760,222
GAL3ST1,21,27
YWHAH,8286,4734
RFPL1,1,0
RFPL2,5,3
GNAZ,717,826
MGAT3,3826,1284
ADORA2A,8,5
ATF4,19200,13771
RFPL3,1,0
CDC42EP1,12361,2276
APOL3,414,4231
MCHR1,129,11
TPST2,1938,2851
BAIAP2L2,816,60
MPST,4112,2883
GALR3,1,0
TST,2861,3390
APOL5,0,7
IGLL1,0,1
APOL2,1343,2227
RAC2,1309,686
LIF,1071,163
C22orf23,416,105
APOBEC3A,93,18
APOBEC3F,713,291
RIBC2,83,22
KRT17,12058,13751
EMC4,1870,1667
SPECC1,2937,1455
CPA4,785,48
DOCK4,1288,1798
POT1,2116,1301
TAS2R16,0,0
ATP6V1F,4923,1883
LSM8,2736,1901
CDHR3,142,322
PRKRIP1,1765,850
VGF,126,0
PODXL,12068,9803
FOXP2,50,911
STRIP2,65,47
IFT22,1619,833
MKLN1,2513,4238
DNAJB9,1693,2167
FLNC,1811,2557
LRRC4,186,282
CALU,37789,11516
CCDC136,69,316
SMO,2245,825
IRF5,1376,395
LRRC17,307,1119
KLHDC10,4985,5378
NDUFA5,1990,4158
FEZF1,1,0
OPN1SW,1,1
MRPS12,3919,585
MYO1B,7020,4848
HOXD1,4,10
HOXD3,29,202
MTX2,2037,1315
PDE11A,14,929
CHN1,686,610
GAD1,15,5
OSGEPL1,250,463
ORMDL1,1844,1809
HAT1,3100,2112
HOXD9,98,407
HOXD10,12,55
HOXD11,0,1
HOXD13,4,1
HERC2,3604,5317
SNRPN,17,79
PSMG2,2353,3541
TWSG1,1804,3599
ARHGAP22,871,154
WDFY4,102,354
EIF2AK4,3841,4762
MYO5C,1225,2332
CGNL1,1115,1244
TMOD2,948,2377
TTBK2,314,1329
ELL3,5,2
INO80,2184,2312
ICE2,958,3688
DLL4,1468,940
IVD,2039,5392
KNSTRN,1348,397
DUT,1563,2295
CHAC1,571,13
CLN6,1446,634
ARPP19,6121,14627
VPS13C,1804,6885
CALML4,8,9
ISLR,7362,11890
THAP10,106,179
LOXL1,2004,1246
ACKR4,17,651
ANAPC13,1726,3200
MBD4,2414,1738
COPB1,8139,7018
PSMA1,578,577
SUMF2,11371,5699
PALLD,15946,11368
SPCS3,4219,5917
BBOX1,349,318
MYOD1,0,0
SERGEF,607,791
KCNC1,5,12
TPH1,14,31
CSRP3,1,0
E2F8,524,18
DCTD,4102,4341
SOX15,71,48
RPAIN,580,938
USP6,36,43
SHBG,19,28
PLD2,2649,1760
AIPL1,1,1
CD68,0,4
TXNDC17,2323,898
ATP1B2,75,442
FXR2,4563,2042
KIF1C,13348,12281
MPDU1,4982,2082
PHF20L1,4322,2250
CCNT1,2497,2804
PUS7L,1490,1121
KRI1,1296,893
ILF3,18412,9143
SLC44A2,19010,11126
AP1M2,4751,442
MTUS1,2542,7342
KLK14,128,118
SIGLEC9,73,80
KLK10,590,128
KLK8,647,21
NGDN,1981,1281
RIPK3,22,238
ADCY4,492,2337
RAB2B,782,1551
BCL2L2,2353,6716
AJUBA,1224,632
DTD2,100,323
PARP2,996,997
HEATR5A,1149,2077
FOXA1,489,1289
SNX6,2552,5393
EAPP,925,2149
EGLN3,8982,481
MIS18BP1,1205,1750
NRL,46,92
RNASE1,17071,35902
NEDD8,1477,1166
DAD1,8529,5318
TEP1,1420,2347
EPB41L4A,281,562
CDO1,8,8436
ITFG1,2191,3876
QRICH2,855,104
FOXJ1,6,9
RHBDF2,5001,622
ARHGEF6,641,12253
MAP7D3,566,3982
FGF13,1936,1715
ASH2L,2043,4590
TTI2,293,405
ART1,1,0
CHRNA10,32,18
CDKN1C,695,7055
RPS4Y1,16,1
VCY1B,0,0
VCY,0,0
CDH15,33,2
KLF16,2052,143
SHC2,623,880
INS-IGF2,0,0
ABHD17A,1917,1272
LBP,4,309
SYT5,21,5
TNNI3,61,0
CBFA2T3,533,578
GAMT,234,681
ERMARD,424,995
PHF10,3061,6883
PRRG3,56,847
GALNT8,1,298
KCNA5,10,41
CRACR2A,246,341
NXNL2,12,24
STARD8,435,1487
GDPD2,12,2
SAT1,146389,10187
GNL3L,3215,1542
SH3BP4,5307,3399
MOSPD2,782,1225
ECSIT,1034,1616
LDLR,2046,843
ELOF1,1688,1480
TSPAN16,1,3
PRKCSH,14899,9308
CNN1,1565,5225
CDC16,3558,4734
ZSCAN10,0,0
THEM6,4134,1308
APOE,10730,9740
TOMM40,11170,994
APOC1,364,224
GADD45G,159,92
DPP6,7,237
XPO7,3879,5799
ACE2,10,54
FAM98C,739,379
SAFB2,2062,1793
RPL36,18494,12162
ATP8B3,170,82
GDF1,1,0
NCAN,53,1
KIF1A,667,14
GTPBP3,604,392
PLVAP,7731,18004
BST2,8409,4419
SLC27A1,701,2933
NSUN5,2013,662
USHBP1,56,603
COLGALT1,10047,5547
MRPL34,750,2262
PGLS,1919,1661
LSM7,2381,645
TULP4,2990,3024
SNX9,3160,8302
RTN4IP1,279,248
QRSL1,967,1021
RSPH3,668,1172
MAS1,0,6
ACSBG2,10,7
MLLT1,4092,3987
FUT5,1,0
BMP15,0,0
ACTN4,58418,17891
STK33,48,33
NDUFA10,4374,6375
EPO,11,5
ARPC1B,107,23
CACNG6,20,2
ZSWIM6,772,925
FCHO1,498,51
UNC13A,67,12
MAP1S,1322,836
KLHDC7B,352,144
PXDN,23245,16354
SSBP4,681,840
GDF15,127,71
PGPEP1,611,1615
LSM4,4846,1721
JUND,2482,3632
HRC,22,226
TRPM4,9501,1090
SULT4A1,269,13
